program,rule_based_pattern_matching,keyword_priority_ranking,synonym_translation_table,backtracking_pattern_matcher,wildcard_and_class_tokens,parse_segment_storage,template_based_reconstruction,conversational_memory_rules,fallback_last_resort_rule,punctuation_sensitive_tokenization
1966CosellELIZA,True,True,True,True,True,True,True,True,True,True
1978_ITS_DSK_LIBDOC_DOCTOR_JONL1,True,True,True,True,True,True,True,True,True,True
1979_EricPlatt_DR_CHALLENGER_CLEAN,True,False,False,False,False,True,True,False,True,False
1997_Wallace_Dunlop_Javascript_Eliza,True,False,False,False,False,True,True,True,True,True
20100310BellEliza,True,True,True,False,True,True,True,False,True,False
20120310CherryEliza,True,True,True,True,False,True,True,False,True,unknown
20120310NorvigEliza,True,False,False,True,True,True,True,False,True,True
20120310ShragerNorthEliza,True,True,True,False,False,False,True,False,True,False
20120311StroutEplerHigginsEliza,True,False,True,True,True,True,True,False,True,True
20120311srijakEliza,True,False,False,True,True,True,True,True,True,False
20130209_os9archive.rtsi.com|RSDOS|GAMES|ELIZA.BAS,True,True,True,False,True,True,True,False,True,False
20130209_www.jesperjuul.net|eliza|ELIZA,True,True,True,False,False,True,True,False,True,False
DaveBabcockEliza_20150910,True,True,False,False,False,True,True,False,True,True
ITS_SRC_libdoc_doctor,True,True,True,True,True,True,True,True,True,True
KMPs_ITS_Lisp_ELIZA_doc,True,False,True,False,False,True,True,True,True,True
MAD-SLIP_transcription,True,True,unknown,True,True,True,True,True,True,True
aheliza,True,True,True,True,True,True,True,True,True,True
eliza,True,True,True,False,False,True,True,False,True,True
samson_M46_gross,True,True,True,True,True,True,True,True,True,True
