program,rule_based_pattern_matching,keyword_priority_ranking,synonym_translation_table,backtracking_pattern_matcher,wildcard_and_class_tokens,parse_segment_storage,template_based_reconstruction,conversational_memory_rules,fallback_last_resort_rule,punctuation_sensitive_tokenization,ordered_memory,list&symbol_processing_v_string_processing,separable_script
E01_Cosell66Lisp,True,True,True,True,True,True,True,True,True,True,True,True,True
E02_Trembly17Cobol,True,False,True,False,False,True,True,False,True,True,True,False,False
E03_SamsonXXLisp,True,True,True,True,True,True,True,True,True,True,True,True,True
E04_KMPXXLisp,True,False,True,False,False,True,True,True,True,True,True,True,False
E05_JonLXXLisp,True,True,True,True,True,True,True,True,True,True,True,True,True
E06_Babcock15BASIC,True,True,False,False,False,True,True,False,True,True,True,False,False
E07_Hay21CPP,True,True,True,True,True,True,True,True,True,True,True,True,True
E08_Juul23BASIC,True,True,True,False,False,True,True,False,True,False,True,False,False
E09_DavenportXXBASIC,True,True,True,False,True,True,True,False,True,False,True,False,False
E10_Srijak08Python,True,False,True,True,True,True,True,True,True,False,True,True,False
E11_Strout05Python,True,False,True,False,True,True,True,False,True,False,True,False,False
E12_Shrager73BASIC,True,True,True,False,False,False,True,False,True,False,True,False,True
E13_Norvig91Lisp,True,False,False,True,True,True,True,False,False,True,True,True,False
E14_Cherry82Lisp,True,True,False,False,False,True,True,False,True,unknown,True,True,False
E15_Bell79BASIC,True,False,True,False,False,True,True,False,True,False,True,False,False
E16_Dunlop97JS,True,False,False,False,False,True,True,False,True,True,True,False,False
E17_Platt79BASIC,True,False,False,False,False,True,True,False,True,False,False,False,False
E18_JonLXXLisp_clone,True,True,True,True,True,True,True,True,True,True,True,True,True
E19_Weizenbaum65MADSLIP,True,True,unknown,True,True,True,True,True,True,True,True,True,True
E20_Shrager73BASIC_clone,True,True,True,False,False,False,True,False,True,False,True,False,True
E21_Ciston15LadyMouthPython,False,False,False,False,False,False,False,False,False,False,False,False,False
E22_Shrager15FilerCPP_foil,True,False,False,True,True,True,True,False,False,False,False,False,False
E23_Jull99Java,True,False,True,False,False,False,True,False,True,False,True,False,False
E24_HaydenXXJava,True,True,True,True,True,True,True,True,True,True,True,True,True
E25_Haxpor15PHP,True,True,True,True,True,True,True,True,True,True,False,False,True
E26_Duquet70SNOBOL,True,True,True,True,True,True,True,True,True,True,True,True,True
E27_Fricks70B5500Algol,True,True,True,True,True,True,True,True,True,True,True,True,True
